,x
FF|FF,4532
SL|FF,1133
FF|SL,1114
FT|FT,853
FT|FF,793
CH|FF,763
FF|FT,735
FF|CH,715
SL|SL,644
CU|FF,503
FF|CU,462
CH|CH,320
KC|KC,276
SL|FT,238
FT|SL,229
FF|FC,213
KC|FF,210
FC|FF,205
CH|FT,200
FF|KC,199
FT|CH,195
CU|CU,185
CH|SL,183
FC|FC,171
FT|KC,159
SL|CH,156
KC|FT,139
FT|CU,120
CU|FT,109
FT|FC,103
FC|FT,96
CU|CH,94
CH|CU,87
SL|CU,79
CU|SL,74
FC|CU,64
CH|KC,54
CU|FC,54
IN|IN,53
FF|FS,49
FS|FF,39
KC|CH,36
CH|FC,34
FC|CH,33
FC|SL,25
null|null,23
SL|FC,21
FS|FS,17
FS|SL,17
FS|FT,15
SL|FS,14
FF|null,12
KC|FC,12
SL|KC,10
FT|FS,9
null|FF,8
FC|KC,7
KC|SL,5
null|SL,5
PO|FF,5
FF|PO,4
FT|null,3
null|FT,3
FT|IN,2
IN|FF,2
KC|IN,2
null|IN,2
SL|null,2
CU|null,1
FF|IN,1
FT|PO,1
IN|KC,1
IN|null,1
IN|SL,1
null|KC,1
PO|PO,1
PO|SL,1